x;y;OBJECTID;Nombre_Cen;Este;Norte
283078.4281;2163943.148;1;Yerba de Guinea;283078.4281;2163943.148
282492.405;2165283.731;2;Dolores Viuda Bogaert;282492.405;2165283.731
282460.386;2165239.829;3;Capacitación Laboral Fidelina Reyes;282460.386;2165239.829
282371.733;2164853.357;4;Politecnico Salesiano Sagrado Corazón de Jesús;282371.733;2164853.357
282244.3241;2164733.103;5;Padre Luis Variara;282244.3241;2164733.103
282363.6758;2164189.09;6;Enriquillo;282363.6758;2164189.09
281825.22;2163929.881;7;Benito Monción;281825.22;2163929.881
282345.5287;2163558.163;8;Prof. Juan Isidro Pérez;282345.5287;2163558.163
282657.3519;2163434.467;9;Camelia;282657.3519;2163434.467
282415.4417;2163757.843;10;Santa Teresita;282415.4417;2163757.843
282367.2176;2162749.59;11;Liceo Prof. Juan de Jesús Reyes;282367.2176;2162749.59
282273.5477;2163915.025;12;Colegio Personita;282273.5477;2163915.025
282430.4069;2163910.022;13;Colegio Anadelia Jorge;282430.4069;2163910.022
281429.3773;2164177.746;14;Colegio Santo Niño de Atocha;281429.3773;2164177.745
278704.1215;2164884.827;15;Desiderio Arias;278704.1215;2164884.827
278527.3491;2164602.653;16;Fe y Esperanza;278527.3491;2164602.653
278265.1783;2164145.917;17;Camino Vecinales;278265.1783;2164145.917
281213.6484;2163667.149;18;Juan Pablo Duarte;281213.6484;2163667.149
281080.8627;2163141.701;19;Graciela Reyes Tineo;281080.8627;2163141.701
281150.3848;2162791.285;20;Colegio Pequeñito de Colores;281150.3848;2162791.285
280583.3857;2162090.98;21;Motocross;280583.3857;2162090.98
281403.5866;2162102.352;22;María Auxiliadora;281403.5866;2162102.352
281555.6269;2161621.937;23;Colegio los Querubines;281555.6269;2161621.937
282119.0937;2161288.893;24;Jeronimo Graciano de los Santos;282119.0937;2161288.893
282121.9189;2161357.399;25;Instituto de Enseñanza de Niños Especiales;282121.9189;2161357.398
281879.8268;2162030.901;26;Colegio los Mellizos;281879.8268;2162030.901
281857.788;2162290.715;27;Escuela Sibila;281857.788;2162290.715
282035.1295;2162363.414;28;Centro Educativo Evangelico Rosas de Canaan;282035.1295;2162363.414
282233.3097;2162406.076;29;Escuela Prof. Juan de Jesús Reyes;282233.3097;2162406.076
282290.3718;2162186.033;30;Escuela Tierra Seca;282290.3718;2162186.033
282549.2719;2162483.854;31;Escuela los Cayucos;282549.2719;2162483.854
281775.8626;2162874.359;32;Colegio Evangelico Simon Bolivar;281775.8626;2162874.359
282160.8862;2162934.571;33;Centro de Estimulación Temprana Los Pasitos;282160.8862;2162934.57
281562.5681;2163047.252;34;Paul P. Harris;281562.5681;2163047.252
281699.1959;2163130.186;35;Liceo Prof. Porfirio Gutierrez;281699.1959;2163130.186
282022.5612;2163610.913;36;San Martin de Porres;282022.5612;2163610.913
282171.5903;2163721.603;37;Centro Educativo Kindergarden Bambi;282171.5903;2163721.603
282365.1765;2163447.197;38;Discapacitados Visuales del Noroeste;282365.1765;2163447.197
282649.0752;2163444.422;39;Enriquillo;282649.0752;2163444.422
282619.6347;2164332.923;40;Utesiano de Estudios;282619.6347;2164332.922
282611.8925;2164750.791;41;Jardin Santo Domingo Savio;282611.8925;2164750.791
282530.4883;2164962.16;42;Batey Hatico;282530.4883;2164962.16
280881.1494;2162818.264;43;Caipi Villa Olimpica;280881.1494;2162818.263
280609.1743;2164055.433;44;Instituto Politecnico Noroeste;280609.1743;2164055.433
280579.3818;2162605.363;45;Padre César Dal Santos;280579.3818;2162605.363
